Time,Solar Power (MW),Diesel Generator Power (MW),Battery Power (MW),Wind Power (MW),Load Profile (MW),Output power (MW),Output power (Sources)
22.0299228568771,0.0131792071556251,-0.510776223526751,1,0.498271240624632,1.4,1.4982712406246321,Battery Wind
22.0362421996112,0.0131796056231538,-0.510807255021411,1,0.497349191219027,1.4,1.497349191219027,Battery Wind
22.0425615423454,0.0131737722559419,-0.510402729008445,1,0.496577290084183,1.4,1.496577290084183,Battery Wind
22.0488808850796,0.0131731468862063,-0.510323453080339,1,0.495586488262618,1.4,1.495586488262618,Battery Wind
22.0507766878998,0.0131692374444106,-0.510051843862394,1,0.495412755678391,1.4,1.495412755678391,Battery Wind
22.0526724907201,0.0131685548907635,-0.509813344883726,1,0.495587238773058,1.4,1.495587238773058,Battery Wind
22.0590011281183,0.0131613837693469,-0.509314648825578,1,0.494735314275799,1.4,1.494735314275799,Battery Wind
22.0608997193378,0.0131641539847021,-0.509508309197088,1,0.494261562161723,1.4,1.494261562161723,Battery Wind
22.0627983105572,0.0131580028805537,-0.508901181020535,1,0.494644237486859,1.4,1.494644237486859,Battery Wind
22.0687379932234,0.0131579903020511,-0.508933633656066,1,0.493500976724331,1.4,1.493500976724331,Battery Wind
22.0746776758896,0.0131513782479245,-0.508413682408886,1,0.492954707366472,1.4,1.492954707366472,Battery Wind
22.0806173585558,0.0131499516487992,-0.508262441755272,1,0.492243777852442,1.4,1.492243777852442,Battery Wind
22.086557041222,0.0131429564253127,-0.507887399397164,1,0.491473230694115,1.4,1.491473230694115,Battery Wind
22.0924967238882,0.0131420247379081,-0.507699906938284,1,0.49116267703854,1.4,1.49116267703854,Battery Wind
22.0984364065544,0.0131410644321608,-0.507436854571769,1,0.491191450482558,1.4,1.491191450482558,Battery Wind
22.1043760892206,0.0131598606141049,-0.508069197267218,1,0.491812516915741,1.4,1.491812516915741,Battery Wind
22.1103157718868,0.0131333716937828,-0.506771998312524,1,0.49132488568461,1.4,1.49132488568461,Battery Wind
22.116255454553,0.0131337760424081,-0.506686318016093,1,0.491303513656261,1.4,1.491303513656261,Battery Wind
22.1221951372192,0.0131281901747538,-0.506448669090171,1,0.491027684638309,1.4,1.491027684638309,Battery Wind
22.1281348198854,0.0131287713629819,-0.506581265060563,1,0.490763090259456,1.4,1.490763090259456,Battery Wind
22.1340745025516,0.0131174761724757,-0.506353926523881,1,0.489917301213117,1.4,1.489917301213117,Battery Wind
22.1400141852178,0.0131245719890591,-0.506682951980324,1,0.490217429261543,1.4,1.490217429261543,Battery Wind
22.145953867884,0.0131130451872314,-0.506417972039478,1,0.489619989230225,1.4,1.489619989230225,Battery Wind
22.1518935505502,0.0131131751534925,-0.506760128176566,1,0.489061712212322,1.4,1.489061712212322,Battery Wind
22.1578332332164,0.0131079402109432,-0.506741912083707,1,0.488778334072581,1.4,1.488778334072581,Battery Wind
22.1637729158826,0.0131071554584428,-0.507072856383849,1,0.488237060743456,1.4,1.488237060743456,Battery Wind
22.1697125985488,0.0131011756224625,-0.507027828195644,1,0.487982310929604,1.4,1.487982310929604,Battery Wind
22.1756522812149,0.0130996696518538,-0.507318029464904,1,0.487468138572797,1.4,1.487468138572797,Battery Wind
22.1815919638811,0.013093090243949,-0.507223759271077,1,0.487246943383944,1.4,1.487246943383944,Battery Wind
22.1875316465473,0.0130910435748041,-0.507457475955242,1,0.486767752457441,1.4,1.486767752457441,Battery Wind
22.1934713292135,0.013084063537236,-0.507306794868599,1,0.486580570025868,1.4,1.486580570025868,Battery Wind
22.1994110118797,0.0130816792580113,-0.507482278488404,1,0.486133343765543,1.4,1.486133343765543,Battery Wind
22.2053506945459,0.0130741437116232,-0.507370442238042,1,0.485698994795354,1.4,1.485698994795354,Battery Wind
22.2112903772121,0.0130783253421114,-0.507532105414319,1,0.486120509582907,1.4,1.486120509582907,Battery Wind
22.2172300598783,0.0130913233646081,-0.508013660684951,1,0.486978140443022,1.4,1.486978140443022,Battery Wind
22.2231697425445,0.0130693431263492,-0.507062767881533,1,0.486639041174203,1.4,1.486639041174203,Battery Wind
22.2291094252107,0.0130643400800218,-0.506686610998584,1,0.486903189456857,1.4,1.486903189456857,Battery Wind
22.2350491078769,0.0130631887551944,-0.506760556245625,1,0.486533103798745,1.4,1.486533103798745,Battery Wind
22.2409887905431,0.0130586740426539,-0.506531640892673,1,0.486480749265499,1.4,1.486480749265499,Battery Wind
22.2469284732093,0.0130517571870938,-0.506552725878419,1,0.485423253643237,1.4,1.485423253643237,Battery Wind
22.2528681558755,0.0130475333804103,-0.506289553673615,1,0.485424180159858,1.4,1.485424180159858,Battery Wind
22.2588078385417,0.0130474284672817,-0.506481821645404,1,0.484821086730466,1.4,1.484821086730466,Battery Wind
22.2647475212079,0.0130422911828214,-0.506324203701896,1,0.484454761459949,1.4,1.484454761459949,Battery Wind
22.2706872038741,0.0130415078287472,-0.50649206014212,1,0.483844872568726,1.4,1.483844872568726,Battery Wind
22.2766268865403,0.0130357311979643,-0.506300869056589,1,0.483487209526193,1.4,1.483487209526193,Battery Wind
22.2825665692065,0.0130343214704398,-0.50643129709838,1,0.482892645365704,1.4,1.482892645365704,Battery Wind
22.2885062518727,0.0130280380604109,-0.506204323575773,1,0.482562933551642,1.4,1.482562933551642,Battery Wind
22.2944459345389,0.0130261730864149,-0.506299779307824,1,0.482004265520975,1.4,1.4820042655209749,Battery Wind
22.300385617205,0.0130195496058245,-0.506042527156732,1,0.481717401283294,1.4,1.4817174012832939,Battery Wind
22.3063252998712,0.0130173793757715,-0.506109523834845,1,0.481205445662938,1.4,1.481205445662938,Battery Wind
22.3122649825374,0.0130102410116673,-0.505929569327075,1,0.480678523806984,1.4,1.480678523806984,Battery Wind
22.3182046652036,0.0130082643986255,-0.505860389829537,1,0.480564593491116,1.4,1.480564593491116,Battery Wind
22.3241443478698,0.0130078733468362,-0.505739176851079,1,0.480832649407124,1.4,1.480832649407124,Battery Wind
22.330084030536,0.0130267915747045,-0.506501332828557,1,0.481571945094419,1.4,1.481571945094419,Battery Wind
22.3360237132022,0.0129997615634044,-0.505198282301283,1,0.481326016587753,1.4,1.481326016587753,Battery Wind
22.3419633958684,0.0129996503608833,-0.505115512879458,1,0.481414600365127,1.4,1.481414600365127,Battery Wind
22.3479030785346,0.0129944819905205,-0.504894248549903,1,0.481234751180651,1.4,1.481234751180651,Battery Wind
22.3538427612008,0.0129947611110442,-0.504995043456673,1,0.480999430698719,1.4,1.480999430698719,Battery Wind
22.359782443867,0.0129837139288091,-0.504732895449797,1,0.480174927738293,1.4,1.480174927738293,Battery Wind
22.3657221265332,0.0129842842684068,-0.504850364122111,1,0.479936860570751,1.4,1.479936860570751,Battery Wind
22.3716618091994,0.0129800803481946,-0.504762404051161,1,0.479625993436602,1.4,1.479625993436602,Battery Wind
22.3776014918656,0.0129796521561677,-0.505004104767519,1,0.479012548303284,1.4,1.479012548303284,Battery Wind
22.3835411745318,0.0129746753758837,-0.504900505181389,1,0.478696470510304,1.4,1.478696470510304,Battery Wind
22.389480857198,0.0129734750327102,-0.505110668066366,1,0.478091499528053,1.4,1.478091499528053,Battery Wind
22.3954205398642,0.0129678187272946,-0.504969476253921,1,0.477794451023717,1.4,1.4777944510237169,Battery Wind
22.4013602225304,0.0129659894380841,-0.50513772672375,1,0.477215285555089,1.4,1.477215285555089,Battery Wind
22.4072999051966,0.0129598183276999,-0.504954251369803,1,0.476953265383271,1.4,1.4769532653832709,Battery Wind
22.4132395878628,0.0129575314941227,-0.505079614484308,1,0.476413238492992,1.4,1.476413238492992,Battery Wind
22.419179270529,0.0129510305615265,-0.504857378467423,1,0.47619418949391,1.4,1.47619418949391,Battery Wind
22.4251189531951,0.0129480332023154,-0.505038541527741,1,0.475410586304713,1.4,1.475410586304713,Battery Wind
22.4310586358613,0.0129486380241485,-0.504860902551972,1,0.47606078371449,1.4,1.4760607837144901,Battery Wind
22.4369983185275,0.0129663254902889,-0.505593096847831,1,0.476785237060406,1.4,1.476785237060406,Battery Wind
22.4429380011937,0.012939915667679,-0.504330989517245,1,0.476566206299076,1.4,1.476566206299076,Battery Wind
22.4488776838599,0.0129393376685105,-0.504245452373767,1,0.47661675623151,1.4,1.47661675623151,Battery Wind
22.4548173665261,0.0129343123974464,-0.504026218431627,1,0.476453870562708,1.4,1.476453870562708,Battery Wind
22.4607570491923,0.0129341264523685,-0.504108097417549,1,0.476192102158021,1.4,1.4761921021580209,Battery Wind
22.4666967318585,0.0129230734264772,-0.503837463105265,1,0.475362561991707,1.4,1.475362561991707,Battery Wind
22.4726364145247,0.0129299984700275,-0.504086556976624,1,0.47564364386506,1.4,1.47564364386506,Battery Wind
22.4785760971909,0.0129187956486119,-0.503729665143444,1,0.475048957394942,1.4,1.4750489573949421,Battery Wind
22.4845157798571,0.0129184045248337,-0.503954027580091,1,0.474392805861223,1.4,1.474392805861223,Battery Wind
